COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
85,42,66,120,53,7,149,45,19,145,173,325,163,85,5,4,180,182,3
89,36,68,141,59,8,139,47,18,130,166,291,127,73,7,1,189,196,4
84,38,74,138,57,8,139,49,18,127,160,282,127,72,9,20,183,191,1
83,40,59,116,53,7,132,52,18,137,145,250,157,84,12,6,177,183,4
97,53,105,225,71,12,221,30,25,167,226,713,202,70,3,20,186,200,2
83,44,70,166,69,5,143,46,18,143,166,306,170,69,7,6,188,193,3
85,40,66,136,58,6,142,48,19,137,164,295,164,77,2,22,182,186,2
97,41,92,197,63,10,179,37,21,140,197,481,136,63,4,3,197,204,1
84,42,76,156,64,7,151,44,19,143,179,339,157,75,0,20,187,193,3
100,58,109,230,70,11,226,30,25,182,234,752,207,72,0,13,187,198,1
89,41,76,183,73,7,157,42,19,136,181,373,153,74,8,12,191,195,3
99,38,74,184,66,6,164,39,20,131,193,414,137,71,2,22,200,202,3
105,51,105,197,60,11,191,35,22,162,207,545,194,64,18,4,196,205,2
92,41,66,125,52,7,139,50,18,143,160,275,161,81,7,19,182,184,4
83,42,71,152,64,7,149,45,19,142,172,331,158,74,2,2,184,190,3
92,35,58,136,58,6,122,55,17,132,142,222,116,64,6,17,197,203,4
104,52,110,172,53,10,219,30,25,166,235,711,218,74,10,28,188,198,1
96,44,68,190,70,7,155,41,19,145,179,372,166,67,5,7,202,206,3
85,36,72,127,56,7,127,54,18,125,144,233,123,70,3,30,184,194,1
105,51,93,160,51,7,217,30,24,165,240,703,208,81,9,25,188,188,3
96,46,88,174,68,10,155,43,19,148,173,354,182,69,14,15,194,202,4
80,44,68,120,53,8,151,45,19,146,170,333,190,80,4,16,180,185,3
88,41,80,147,62,8,146,45,19,144,169,318,161,71,4,16,188,197,4
95,49,82,139,56,11,159,43,20,162,173,365,185,75,7,10,182,191,4
97,37,70,173,66,7,151,43,19,129,167,346,119,65,0,16,201,208,3
94,46,77,169,60,8,158,42,20,148,181,373,181,67,12,2,193,199,2
86,36,78,146,58,7,135,50,18,124,155,270,148,66,0,25,190,195,2
