COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
82,39,86,140,54,7,153,45,19,134,174,338,139,71,11,18,183,189,1
106,55,98,224,68,11,215,31,24,170,222,679,214,68,2,29,189,201,1
115,53,100,205,64,11,220,30,25,166,229,710,214,71,21,11,189,199,2
101,55,105,182,59,10,215,31,24,177,221,678,223,74,12,26,186,195,1
86,38,58,119,56,4,118,57,17,129,140,208,152,78,9,2,184,186,4
86,39,62,129,59,6,116,57,17,135,137,203,145,64,7,9,199,204,4
85,38,72,130,53,9,134,51,18,132,145,261,123,65,1,24,188,198,1
87,42,60,116,51,6,150,46,19,141,169,324,171,85,2,14,178,182,3
92,42,69,153,58,8,140,48,18,138,165,290,151,64,10,21,199,206,1
83,37,49,112,55,5,122,55,17,128,144,219,146,85,8,16,180,184,4
97,55,96,170,54,10,216,31,24,173,219,685,218,75,0,4,184,193,1
84,36,75,136,55,6,140,48,18,125,166,290,138,71,4,36,189,195,2
88,44,71,165,70,7,144,46,19,141,167,312,172,71,4,4,188,193,3
103,49,107,179,54,12,208,32,24,159,214,644,183,66,1,12,191,200,1
86,44,70,140,64,6,148,45,19,145,170,322,185,82,10,1,181,183,3
108,55,105,230,68,11,218,30,24,171,228,709,210,69,14,4,190,197,1
84,43,76,180,75,7,155,43,19,143,180,359,173,77,5,12,185,190,3
105,53,105,184,57,11,211,31,24,168,224,661,218,71,0,15,186,197,2
89,38,77,161,62,7,149,45,19,129,174,327,153,71,6,21,188,193,2
97,37,78,181,62,8,161,41,20,131,182,389,117,62,2,28,203,211,1
86,35,44,110,54,2,119,57,17,121,139,208,137,90,6,1,180,183,4
102,43,96,197,63,10,185,36,22,142,202,513,139,65,8,12,195,204,1
110,53,104,223,66,10,211,32,24,164,223,659,210,67,5,16,190,203,2
95,51,96,196,63,9,190,35,22,161,208,543,235,68,13,0,191,198,1
108,51,100,206,63,10,196,34,23,159,214,576,201,65,7,16,194,205,2
89,38,82,156,59,8,153,43,19,129,179,351,137,70,1,1,187,192,2
100,54,102,206,65,10,198,33,23,164,224,587,240,72,4,11,187,196,2
91,38,76,172,61,8,167,40,20,134,196,415,145,71,0,28,189,198,1
86,37,77,144,54,7,154,43,19,127,179,352,145,71,14,13,186,191,1
93,51,90,209,69,8,183,36,22,156,211,506,230,70,6,1,189,196,2
96,40,78,170,58,7,174,38,21,139,197,455,160,68,3,29,191,200,2
81,45,68,137,60,7,152,45,19,151,167,333,179,81,3,13,179,183,3
102,52,98,225,71,10,214,31,24,164,228,682,199,71,0,16,187,196,1
97,48,105,212,64,11,201,33,23,155,212,602,162,64,2,7,193,202,1
94,37,72,146,60,9,133,50,18,135,161,262,128,69,2,7,192,195,4
107,54,96,201,62,12,218,31,24,170,221,694,217,71,2,21,187,198,2
85,43,66,123,56,6,148,46,19,145,166,319,171,85,6,11,179,182,3
93,47,84,205,71,7,176,36,21,152,190,476,201,70,7,19,198,201,3
83,46,68,139,59,6,150,44,19,146,172,336,183,74,5,3,185,191,3
87,38,71,123,53,8,137,49,18,127,158,277,145,75,0,9,181,186,2
86,39,84,149,57,8,156,43,20,133,185,358,157,74,0,23,183,190,1
82,36,51,114,53,4,135,50,18,126,150,268,144,86,15,4,181,182,2
